commname,joinid,uniq_name
A.Allen,ant-allen-rb,Anthony Allen
A.Allen,armando-allen-rb,Armando Allen
A.Brown,ant-d-brown-wr,Antonio D. Brown
A.Brown,aaron-brown-rb,Aaron Brown
A.Brown,andre-brown-wr,Andre Brown
A.Brown,antonio-brown-wr,Antonio Brown
A.Brown,aj-brown,AJ Brown
A.Davis,andre-davis-wr,Andre Davis
A.Davis,austin-davis-qb,Austin Davis
A.Green,ahman-green-rb,Ahman Green
A.Green,aj-green-wr,AJ Green
A.Green,alex-green-rb,Alex Green
A.Hall,ahmard-hall-rb,Ahmard Hall
A.Hall,andre-hall-rb,Andre Hall
A.Harris,arlen-harris-rb,Arlen Harris
A.Harris,alonzo-harris-rb,Alonzo Harris
A.Johnson,ant-johnson-rb,Anthony Johnson
A.Johnson,andre-johnson-wr,Andre Johnson
A.Johnson,austin-johnson-fb,Austin Johnson
A.Jones,adam-jones-db,Adam Jones
A.Jones,aaron-jones-rb,Aaron Jones
A.Lee,amp-lee-rb,Amp Lee
A.Lee,andy-lee-p,Andy Lee
A.Peterson,fake-adrian-peterson-rb,Adrian Peterson (Bears)
A.Peterson,adrian-peterson-rb,Adrian Peterson (Good One)
A.Smith,antowain-smith-rb,Antowain Smith
A.Smith,akili-smith-qb,Akili Smith
A.Smith,alex-smith-qb,Alex Smith
A.Smith,antone-smith-rb,Antone Smith
A.Smith,alfonso-smith-rb,Alfonso Smith
A.Smith,armond-smith-rb,Armond Smith
A.Van Pelt,alex-van-pelt-qb,Alex Van Pelt
A.Van Pelt,bradlee-van-pelt-qb,Bradlee Van Pelt
B.Hill,bronson-hill-rb,Bronson Hill
B.Hill,brian-hill-rb,Brian Hill
B.Johnson,brad-johnson-qb,Brad Johnson
B.Johnson,bryan-johnson-fb,Bryan Johnson
B.Johnson,bethel-johnson-wr,Bethel Johnson
B.Johnson,bryant-johnson-wr,Bryant Johnson
B.Marshall,brandon-marshall-wr,Brandon Marshall
B.Marshall,byron-marshall-rb,Byron Marshall
B.Miller,britt-miller-lb,Britt Miller
B.Miller,bruce-miller-fb,Bruce Miller
B.Miller,braxton-miller-wr,Braxton Miller
B.Mitchell,brian-mitchell-rb,Brian Mitchell
B.Mitchell,basil-mitchell-rb,Basil Mitchell
B.Powell,bilal-powell-rb,Bilal Powell
B.Powell,brandon-powell-wr,Brandon Powell
B.Scott,bernard-scott-rb,Bernard Scott
B.Scott,boston-scott-rb,Boston Scott
B.Tate,brandon-tate-wr,Brandon Tate
B.Tate,ben-tate-rb,Ben Tate
C.Anderson,cj-anderson-rb,CJ Anderson
C.Anderson,colt-anderson-db,Colt Anderson
C.Brown,chris-brown-rb,Chris Brown
C.Brown,corey-brown-wr,Corey Brown
C.Davis,carey-davis-rb,Carey Davis
C.Davis,craig-davis-wr,Craig Davis
C.Davis,chris-davis-wr,Chris Davis
C.Davis,corey-davis-wr,Corey Davis
C.Henry,chris-henry-rb,Chris Henry
C.Henry,chas-henry-p,Chas Henry
C.Johnson,charles-johnson-wr,Charles Johnson
C.Johnson,chad-johnson-wr,Chad Johnson
C.Johnson,calvin-johnson-wr,Calvin Johnson
C.Johnson,chris-johnson-rb,Chris Johnson
C.Jones,charlie-jones-wr,Charlie Jones
C.Jones,chris-jones-p,Chris Jones
C.Jones,cardale-jones-qb,Cardale Jones
C.Jones,colin-jones-db,Colin Jones
C.Martin,curtis-martin-rb,Curtis Martin
C.Martin,cecil-martin-fb,Cecil Martin
C.Rogers,charles-rogers-wr,Charles Rogers
C.Rogers,chester-rogers-wr,Chester Rogers
C.Taylor,chester-taylor-rb,Chester Taylor
C.Taylor,chris-taylor-rb,Chris Taylor
C.Williams,cadillac-williams-rb,Cadillac Williams
C.Williams,chris-williams-2-wr,Chris Williams
C.Williams,chad-williams-wr,Chad Williams
D.Alexander,derrick-alexander-wr,Derrick Alexander
D.Alexander,danario-alexander-wr,Danario Alexander
D.Allen,david-allen-rb,David Allen
D.Allen,dwayne-allen-te,Dwayne Allen
D.Anderson,damien-anderson-rb,Damien Anderson
D.Anderson,derek-anderson-qb,Derek Anderson
D.Anderson,deon-anderson-fb,Deon Anderson
D.Bennett,donnell-bennett-rb,Donnell Bennett
D.Bennett,darren-bennett-p,Darren Bennett
D.Bennett,drew-bennett-wr,Drew Bennett
D.Brown,dave-brown-qb,Dave Brown
D.Brown,dee-brown-rb,Dee Brown
D.Brown,dante-brown-rb,Dante Brown
D.Brown,donald-brown-rb,Donald Brown
D.Butler,deon-butler-wr,Deon Butler
D.Butler,drew-butler-p,Drew Butler
D.Carr,david-carr-qb,David Carr
D.Carr,derek-carr-qb,Derek Carr
D.Carter,drew-carter-wr,Drew Carter
D.Carter,delone-carter-rb,Delone Carter
D.Carter,deandre-carter-rb,Deandre Carter
D.Davis,domanick-williams-rb,Domanick Williams
D.Davis,drew-davis-wr,Drew Davis
D.Foster,deshaun-foster-rb,Deshaun Foster
D.Foster,dj-foster-rb,DJ Foster
D.Harris,dujuan-harris-rb,DuJuan Harris
D.Harris,dwayne-harris-wr,Dwayne Harris
D.Harris,deonte-harris-wr,Deonte Harris
D.Harris,damien-harris-rb,Damien Harris
D.Henderson,devery-henderson-wr,Devery Henderson
D.Henderson,deangleo-henderson-rb,Deangelo Henderson
D.Henderson,darrell-henderson-rb,Darrell Henderson
D.Jackson,darrell-jackson-wr,Darrell Jackson
D.Jackson,desean-jackson-wr,Desean Jackson
D.Jackson,don-jackson-rb,Don Jackson
D.Jackson,darius-jackson-rb,Darius Jackson
D.Johnson,doug-johnson-qb,Doug Johnson
D.Johnson,dirk-johnson-p,Dirk Johnson
D.Johnson,damaris-johnson-wr,Damaris Johnson
D.Johnson,dennis-johnson-rb,Dennis Johnson
D.Johnson,duke-johnson-rb,Duke Johnson
D.Johnson,david-johnson-rb,David Johnson (RB)
D.Johnson,david-johnson-te,David Johnson (TE)
D.Johnson,dernest-johnson-rb,D’Ernest Johnson
D.Johnson,diontae-johnson-wr,Diontae Johnson
D.Jones,donnie-jones-p,Donnie Jones
D.Jones,donald-jones-wr,Donald Jones
D.Jones,daniel-jones-qb,Daniel Jones
D.Moore,devin-moore-rb,Devin Moore
D.Moore,denarius-moore-wr,Denarius Moore
D.Moore,dj-moore-wr,DJ Moore
D.Moore,david-moore-wr,David Moore
D.Scott,darnay-scott-wr,Darnay Scott
D.Scott,darel-scott-rb,Darel Scott
D.Scott,damari-scott-wr,Damari Scott
D.Thomas,devin-thomas-wr,Devin Thomas
D.Thomas,david-thomas-te,David Thomas
D.Thomas,demaryius-thomas-wr,Demaryius Thomas
D.Thomas,daniel-thomas-rb,Daniel Thomas
D.Thomas,deanthony-thomas-rb,DeAnthony Thomas
D.Thompson,derrius-thompson-wr,Derrius Thompson
D.Thompson,deonte-thompson-wr,Deonte Thompson
D.Thompson,darwin-thompson-rb,Darwin Thompson
D.Walker,darius-walker-rb,Darius Walker
D.Walker,delanie-walker-te,Delanie Walker
D.Ward,dedric-ward-wr,Dedric Ward
D.Ward,derrick-ward-rb,Derrick Ward
D.Washington,damon-washington-rb,Damon Washington
D.Washington,dwayne-washington-rb,Dwayne Washington
D.Washington,deandre-washington-rb,Deandre Carter
D.Williams,deangelo-williams-rb,Deangelo Williams
D.Williams,derrick-williams-wr,Derrick Williams
D.Williams,damian-williams-wr,Damian Williams
D.Williams,david-williams-rb,David Williams
D.Williams,darrell-williams-rb,Darrell Williams
D.Williams,dexter-williams-rb,Dexter Williams
E.Bennett,edgar-bennett-rb,Edgar Bennett
E.Bennett,earl-bennett-rb,Earl Bennett
F.Jackson,frisman-jackson-wr,Frisman Jackson
F.Jackson,fred-jackson-rb,Fred Jackson
G.Jones,george-jones-rb,George Jones
G.Jones,greg-jones-rb,Greg Jones
J.Adams,joe-adams-wr,Joe Adams
J.Adams,josh-adams-rb,Josh Adams
J.Allen,james-allen-rb,James Allen
J.Allen,javorius-allen-rb,Javorius Allen
J.Allen,josh-allen-qb,Josh Allen
J.Baker,jason-baker-p,Jason Baker
J.Baker,john-baker-p,John Baker
J.Bell,jacob-bell-g,Jacob Bell
J.Bell,joique-bell-rb,Joique Bell
J.Brown,josh-brown-k,Josh Brown
J.Brown,john-brown-wr,John Brown
J.Conner,john-conner-rb,John Conner
J.Conner,james-conner-rb,James Conner
J.Cook,jameel-cook-fb,Jameel Cook
J.Cook,jared-cook-te,Jared Cook
J.Davis,jason-davis-rb,Jason Davis
J.Davis,james-davis-rb,James Davis
J.Davis,justin-davis-rb,Justin Davis
J.Franklin,johnathan-franklin-rb,Jonathan Franklin
J.Franklin,john-franklin-db,John Franklin
J.Graham,jay-graham-rb,Jay Graham
J.Graham,jimmy-graham-te,Jimmy Graham
J.Green,jacquez-green-wr,Jacquez Green
J.Green,justin-green-fb,Justin Green
J.Harris,joey-harris-rb,Joey Harris
J.Harris,josh-harris-rb,Josh Harris
J.Hill,jason-hill-wr,Jason Hill
J.Hill,josh-hill-te,Josh Hill
J.Hill,jeremy-hill-rb,Jeremy Hill
J.Hill,justice-hill-rb,Justice Hill
J.Jackson,jarious-jackson-qb,Jarious Jackson
J.Jackson,james-jackson-rb,James Jackson
J.Jackson,justin-jackson-rb,Justin Jackson
J.Jett,john-jett-wr,John Jett
J.Jett,james-jett-wr,James Jett
J.Johnson,jj-johnson-rb,JJ Johnson
J.Johnson,jeremi-johnson-fb,Jeremi Johnson
J.Johnson,james-johnson-rb,James Johnson
J.Johnson,josh-johnson-qb,Josh Johnson
J.Johnson,jeremiah-johnson-rb,Jeremiah Johnson
J.Jones,julius-jones-rb,Julius Jones
J.Jones,jacoby-jones-wr,Jacoby Jones
J.Jones,julio-jones-wr,Julio Jones
J.Jones,jj-jones-wr,JJ Jones
J.Lewis,jermaine-lewis-rb,Jermaine Lewis
J.Lewis,jeff-lewis-qb,Jeff Lewis
J.Lewis,jamal-lewis-rb,Jamal Lewis
J.Lewis,jonas-lewis-lb,Jonas Lewis
J.Lewis,jourdan-lewis-cb,Jourdan Lewis
J.Martin,jamie-martin-qb,Jamie Martin
J.Martin,jamar-martin-fb,Jamar Martin
J.McKnight,james-mcknight-wr,James McKnight
J.McKnight,joe-mcknight-wr,Joe McKnight
J.Miller,josh-miller-p,Josh Miller
J.Miller,jim-miller-qb,Jim Miller
J.Morgan,josh-morgan-wr,Josh Morgan
J.Morgan,joe-morgan-wr,Joe Morgan
J.Nelson,jj-nelson-wr,JJ Nelson
J.Nelson,jordy-nelson-wr,Jordy Nelson
J.Norwood,jerious-norwood-rb,Jerious Norwood
J.Norwood,jordan-norwood-wr,Jordan Norwood
J.Palmer,jesse-palmer-qb,Jesse Palmer
J.Palmer,jordan-palmer-qb,Jordan Palmer
J.Reed,josh-reed-wr,Josh Reed
J.Reed,jordan-reed-te,Jordan Reed
J.Ross,jeremy-ross-wr,Jeremy Ross
J.Ross,john-ross-wr,John Ross
J.Smith,jimmy-smith-wr,Jimmy Smith
J.Smith,jonathan-smith-wr,Jonathan Smith
J.Smith,jonnu-smith-te,Jonnu Smith
J.Stewart,james-stewart-rb,James Stewart
J.Stewart,jonathan-stewart-rb,Jonathan Stewart
J.Stewart,jeremy-stewart-fb,Jeremy Stewart
J.Tucker,jason-tucker-wr,Jason Tucker
J.Tucker,justin-tucker-k,Justin Tucker
J.Webb,jeff-webb-wr,Jeff Webb
J.Webb,joe-webb-qb,Joe Webb
J.White,jamel-white-rb,Jamel White
J.White,johnny-white-rb,Johnny White
J.White,james-white-rb,James White
J.Wilkins,jeff-wilkins-k,Jeff Wilkins
J.Wilkins,jordan-wilkins-rb,Jordan Wilkins
J.Williams,james-williams-wr,James Williams
J.Williams,jermaine-williams-rb,Jermaine Williams
J.Williams,javarris-williams-rb,Javarris Williams
J.Williams,jonathan-williams-rb,Jonathan Williams
J.Williams,jamaal-williams-rb,Jamaal Williams
J.Wright,jason-wright-rb,Jason Wright
J.Wright,jarius-wright-wr,Jarius Wright
J.Wright,james-wright-wr,James Wright
K.Allen,keenan-allen-wr,Keenan Allen
K.Allen,kyle-allen-qb,Kyle Allen
K.Carter,kijana-carter-rb,Kijana Carter
K.Carter,kerry-carter-rb,Kerry Carter
K.Johnson,keyshawn-johnson-wr,Keyshawn Johnson
K.Johnson,kevin-johnson-wr,Kevin Johnson
K.Johnson,kyle-johnson-rb,Kyle Johnson
K.Johnson,kerryon-johnson-rb,Kerry Johnson
K.Johnson,keesean-johnson-wr,KeeSean Johnson
K.Robinson,koren-robinson-wr,Koren Robinson
K.Robinson,khiry-robinson-rb,Khiry Robinson
K.Smith,kolby-smith-rb,Kolby Smith
K.Smith,kevin-smith-rb,Kevin Smith
K.Smith,keith-smith-lb,Keith Smith
K.Walter,ken-walter-p,Ken Walter
K.Walter,kevin-walter-wr,Kevin Walter
K.Williams,kevin-williams-wr,Kevin Williams
K.Williams,karl-williams-wr,Karl Williams
K.Williams,keiland-williams-rb,Keiland Williams
K.Williams,kyle-williams-wr,Kyle Williams
K.Williams,kerwynn-williams-rb,Kerwynn Williams
K.Williams,kasen-williams-wr,Kasen Williams
K.Williams,kyle-williams-dt,Kyle Williams
L.Gordon,lennox-gordon-rb,Lennox Gordon
L.Gordon,lamar-gordon-rb,Lamar Gordon
L.Johnson,leon-johnson-rb,Leon Johnson
L.Johnson,lee-johnson-p,Lee Johnson
L.Johnson,leshon-johnson-rb,LeShon Johnson
L.Johnson,larry-johnson-rb,Larry Johnson
L.Thomas,logan-thomas-qb,Logan Thomas
L.Thomas,lawrence-thomas-de,Lawrence Thomas
M.Bates,mario-bates-rb,Mario Bates
M.Bates,michael-bates-rb,Michael Bates
M.Bennett,michael-bennett-rb,Michael Bennett
M.Bennett,martellus-bennett-te,Martellus Bennett
M.Brown,marlon-brown-wr,Marlon Brown
M.Brown,malcolm-brown-rb,Malcolm Brown
M.Brown,mack-brown-rb,Mack Brown
M.Clayton,michael-clayton-wr,Michael Clayton
M.Clayton,mark-clayton-wr,Mark Clayton
M.Cox,mike-cox-rb,Mike Cox
M.Cox,michael-cox-rb,Michael Cox
M.Hall,max-hall-qb,Max Hall
M.Hall,marvin-hall-wr,Marvin Hall
M.Ingram,mark-ingram-rb,Mark Ingram
M.Ingram,melvin-ingram-de,Melvin Ingram
M.Jenkins,martay-jenkins-wr,Martay Jenkins
M.Jenkins,michael-jenkins-wr,Michael Jenkins
M.Jennings,michael-jennings-wr,Michael Jennings
M.Jennings,md-jennings-wr,MD Jennings
M.Johnson,malcolm-johnson-fb,Malcolm Johnson
M.Johnson,marcus-johnson-wr,Marcus Johnson
M.Jones,matt-jones-wr,Matt Jones (WR)
M.Jones,marvin-jones-wr,Marvin Jones
M.Jones,matt-jones-rb,Matt Jones (RB)
M.Lewis,mo-lewis-lb,Mo Lewis
M.Lewis,michael-lewis-wr,Michael Lewis
M.Moore,mewelde-moore-rb,Mewelde Moore
M.Moore,matt-moore-qb,Matt Moore
M.Moore,marlon-moore-wr,Marlon Moore
M.Robinson,marcus-robinson-wr,Marcus Robinson
M.Robinson,michael-robinson-fb,Michael Robinson
M.Smith,maurice-smith-rb,Maurice Smith
M.Smith,musa-smith-rb,Musa Smith
M.Thomas,mike-thomas-wr,Mike Thomas
M.Thomas,michael-thomas-s,Michael Thomas (S)
M.Thomas,michael-thomas-wr,Michael Thomas (WR)
M.Williams,moe-williams-rb,Moe Williams
M.Williams,mike-troy-williams-wr,Mike T. Williams
M.Williams,mike-ant-williams-wr,Mike A. Williams
M.Williams,maxx-williams-te,Maxx Williams
M.Williams,mike-williams-wr,Mike Williams
R.Anderson,richie-anderson-fb,Richie Anderson
R.Anderson,robby-anderson-wr,Robby Anderson
R.Brown,reggie-brown-rb,Reggie Brown (RB)
R.Brown,ronnie-brown-rb,Ronnie Brown
R.Brown,reggie-brown-wr,Reggie Brown (WR)
R.Dixon,ron-dixon-wr,Ron Dixon
R.Dixon,riley-dixon-p,Riley Dixon
R.Johnson,robert-johnson-qb,Robert Johnson
R.Johnson,rudi-johnson-rb,Rudi Johnson
R.Johnson,rashad-johnson-db,Rashad Johnson
R.Smith,robert-smith-rb,Robert Smith
R.Smith,rod-smith-wr,Rod Smith (WR)
R.Smith,rusty-smith-qb,Rusty Smith
R.Smith,rod-smith-rb,Rod Smith (RB)
R.Thomas,rodney-thomas-rb,Rodney Thomas
R.Thomas,robert-thomas-fb,Robert Thomas
R.Thomas,roc-thomas-rb,Roc Thomas
R.Williams,ricky-williams-rb,Ricky Williams (MIA/BAL/NO)
R.Williams,rodney-williams-p,Rodney Williams
R.Williams,fake-ricky-williams-rb,Ricky Williams (IND)
R.Williams,roy-williams-wr,Roy Williams
R.Williams,randal-williams-wr,Randal Williams
R.Williams,reggie-williams-wr,Reggie Williams
R.Williams,roydell-williams-wr,Roydell Williams
R.Williams,ryan-williams-rb,Ryan Williams
S.Johnson,steve-johnson-wr,Steve Johnson
S.Johnson,storm-johnson-rb,Storm Johnson
S.Morris,sammy-morris-rb,Sammy Morris
S.Morris,sylvester-morris-wr,Sylvester Morris
S.Moss,santana-moss-wr,Santana Moss
S.Moss,sinorice-moss-wr,Sinorice Moss
S.Smith,steve-smith-wr,Steve Smith
S.Smith,shaun-smith-de,Shaun Smith
S.Wynn,spergon-wynn-qb,Spergon Wynn
S.Wynn,shane-wynn-wr,Shane Wynn
S.Young,steve-young-qb,Steve Young
S.Young,selvin-young-rb,Selvin Young
T.Banks,tavian-banks-rb,Tavian Banks
T.Banks,tony-banks-qb,Tony Banks
T.Brown,tim-brown-wr,Tim Brown
T.Brown,troy-brown-wr,Troy Brown
T.Brown,travis-brown-qb,Travis Brown
T.Carter,tony-carter-rb,Tony Carter
T.Carter,tim-carter-wr,Tim Carter
T.Davis,troy-davis-rb,Troy Davis
T.Davis,terrell-davis-rb,Terrell Davis
T.Davis,trevor-davis-wr,Trevor Davis
T.Edwards,troy-edwards-wr,Troy Edwards
T.Edwards,trent-edwards-qb,Trent Edwards
T.Green,trent-green-qb,Trent Green
T.Green,tion-green-rb,Tion Green
T.Hill,tyreek-hill-wr,Tyreek Hill
T.Hill,taysom-hill-qb,Taysom Hill
T.Jackson,terry-jackson-fb,Terry Jackson
T.Jackson,tavaris-jackson-qb,Tavaris Jackson
T.Jones,thomas-jones-rb,Thomas Jones
T.Jones,taiwan-jones-rb,Taiwan Jones
T.Jones,tj-jones-wr,TJ Jones
T.Lewis,thad-lewis-qb,Thad Lewis
T.Lewis,tommylee-lewis-wr,TommyLee Lewis
T.Martin,tony-martin-wr,Tony Martin
T.Martin,tee-martin-qb,Tee Martin
T.Richardson,tony-richardson-fb,Tony Richardson
T.Richardson,trent-richardson-rb,Trent Richardson
T.Smith,terrelle-smith-fb,Terelle Smith
T.Smith,troy-smith-qb,Troy Smith
T.Smith,torrey-smith-wr,Torrey Smith
T.Smith,trequan-smith-wr,Tre’Quan Smith
T.Taylor,travis-taylor-wr,Travis Taylor
T.Taylor,tony-taylor-rb,Tony Taylor
T.Taylor,tyrod-taylor-qb,Tyrod Taylor
T.Taylor,taywan-taylor-wr,Taiwan Taylor
T.Williams,travis-williams-lb,Travis Williams
T.Williams,terrence-williams-wr,Terrence Williams
T.Williams,trey-williams-rb,Trey Williams
